initial_alias,name
ENSMUSG00000106117,Gm5284
ENSMUSG00000111491,Gm47503
ENSMUSG00000082607,Gm12045
ENSMUSG00000108599,Gm10616
ENSMUSG00000108960,Gm44943
ENSMUSG00000103494,Gm37410
ENSMUSG00000119383,Gm26285
ENSMUSG00000082780,Rps11-ps5
ENSMUSG00000081101,Gm12024
ENSMUSG00000064945,Rny3
ENSMUSG00000080851,Gm12094
ENSMUSG00000116656,Gm49708
ENSMUSG00000110320,Gm31152
ENSMUSG00000117041,Gm46574
ENSMUSG00000105407,Gm36259
ENSMUSG00000095331,Ptma-ps1
ENSMUSG00000112955,Gm48889
ENSMUSG00000026602,Nphs2
ENSMUSG00000119774,Gm26232
ENSMUSG00000119695,n-R5s209
ENSMUSG00000064613,Gm24621
ENSMUSG00000036295,Lrrn3
ENSMUSG00000040265,Dnm3
ENSMUSG00000064600,Gm25636
ENSMUSG00000046650,Or5an6
ENSMUSG00000083887,Gm11930
ENSMUSG00000105720,Gm42440
ENSMUSG00000085184,4933439K11Rik
ENSMUSG00002075682,Gm54697
ENSMUSG00000051627,H1f4
ENSMUSG00000065258,Gm23969
ENSMUSG00000089542,Gm25835
ENSMUSG00000059857,Ntng1
ENSMUSG00000058571,Gpc6
ENSMUSG00000105387,Gm29681
ENSMUSG00000102013,E330023G01Rik
ENSMUSG00000093877,Or6z1
ENSMUSG00000082945,Gm11540
ENSMUSG00000001741,Il16
ENSMUSG00000115719,4930538L07Rik
ENSMUSG00000100222,Psmb6-ps2
ENSMUSG00000111317,Gm47333
ENSMUSG00000099373,Gm19667
ENSMUSG00000082679,Gm13469
ENSMUSG00000076272,Mir666
ENSMUSG00000021390,Ogn
ENSMUSG00000081550,Gm15877
ENSMUSG00000093289,Snord92
ENSMUSG00000065232,Gm22973
ENSMUSG00000100586,Vmn1r90
ENSMUSG00000111864,Rpl26-ps6
ENSMUSG00000026471,Mr1
ENSMUSG00000065936,Gm25628
ENSMUSG00000109793,Gm10043
ENSMUSG00000114431,Gm48601
ENSMUSG00000086048,Drr1
ENSMUSG00000108265,Or2ak5
ENSMUSG00000114090,Gm9472
ENSMUSG00000050511,Oprd1
ENSMUSG00000081595,Gm13036
ENSMUSG00000117332,Gm49942
ENSMUSG00000034755,Pcdh11x
ENSMUSG00000025780,Itih5
ENSMUSG00000053164,Gpr21
ENSMUSG00000114902,Gm4118
ENSMUSG00000082617,Smt3h2-ps
ENSMUSG00000026726,Cubn
ENSMUSG00000105822,Gm42969
ENSMUSG00000084177,Gm13508
ENSMUSG00000105889,Gm42776
ENSMUSG00000099239,Gm27155
ENSMUSG00000113848,Gm16419
ENSMUSG00000102326,Gm37788
ENSMUSG00000025597,Klhl4
ENSMUSG00000085982,9530051G07Rik
ENSMUSG00000022209,Dhrs2
ENSMUSG00000032911,Cspg4
ENSMUSG00000114933,Gm48040
ENSMUSG00000111236,Gm31614
ENSMUSG00000084140,Gm14000
ENSMUSG00000080469,Snord98
ENSMUSG00000048126,Col6a3
ENSMUSG00000029212,Gabrb1
ENSMUSG00000083296,Gm12638
ENSMUSG00000028644,Ermap
ENSMUSG00000090304,Vmn2r99
ENSMUSG00000038641,Akr1d1
ENSMUSG00000106386,Gm42991
ENSMUSG00000069267,H3c2
ENSMUSG00000026058,Khdrbs2
ENSMUSG00000106872,Gm2189
ENSMUSG00000107639,Gm4374
ENSMUSG00000114456,H2bc9
ENSMUSG00000060724,Vmn1r47
ENSMUSG00000116213,Gm5404
ENSMUSG00000097793,Gm17259
ENSMUSG00000031302,Nlgn3
ENSMUSG00000117186,Gm46576
ENSMUSG00000021643,Serf1
ENSMUSG00000021719,Rgs7bp
ENSMUSG00000113242,Gm48016
ENSMUSG00000040133,Gpr176
ENSMUSG00000105702,Gm43780
ENSMUSG00000113984,Gm48890
ENSMUSG00000021974,Fgf9
ENSMUSG00000096228,Or6z7
ENSMUSG00000093536,Smim17
ENSMUSG00000097073,9430037G07Rik
ENSMUSG00000102816,Gm37814
ENSMUSG00000105586,Gm43009
ENSMUSG00000118318,Vmn1r183
ENSMUSG00000022155,Mroh2b
ENSMUSG00000119925,Rn5s-ps1
ENSMUSG00000109162,2900027M19Rik
ENSMUSG00000093382,Vmn1r-ps14
ENSMUSG00000029314,Gpat3
ENSMUSG00000076143,Mir708
ENSMUSG00000096370,Gm21992
ENSMUSG00000070972,Dnajc25
ENSMUSG00000065126,Snord104
ENSMUSG00000026778,Prkcq
ENSMUSG00000027684,Mecom
ENSMUSG00000049674,Or10a2
ENSMUSG00000103230,Gm17970
ENSMUSG00000114494,Gm48663
ENSMUSG00000119743,n-R5s211
ENSMUSG00000075316,Scn9a
ENSMUSG00000111485,Gm48443
ENSMUSG00000100762,Gm8403
ENSMUSG00000075270,Pde11a
ENSMUSG00000025909,Sntg1
ENSMUSG00000113249,Gm33312
ENSMUSG00000082649,Gm12754
ENSMUSG00000114440,Gm47505
ENSMUSG00000117333,Gm16386
ENSMUSG00000049806,Or9s18
ENSMUSG00000104592,Gm42721
ENSMUSG00000084185,Rplp1-ps1
ENSMUSG00000061843,Vmn1r-ps32
ENSMUSG00000100886,Gm7195
ENSMUSG00000113667,Gm47853
ENSMUSG00000083032,Gm8087
ENSMUSG00000072845,Tmprss11a
ENSMUSG00000113922,Gm48887
ENSMUSG00000091230,H1f11-ps
ENSMUSG00000079890,Gm12106
ENSMUSG00000062209,Erbb4
ENSMUSG00000090417,Vmn2r94
ENSMUSG00000093677,Gm20712
ENSMUSG00000091561,Gm6665
ENSMUSG00000108830,Gm44661
ENSMUSG00000040612,Ildr2
ENSMUSG00000100975,Gm28875
ENSMUSG00000115269,Gm5209
ENSMUSG00000119688,Gm22192
ENSMUSG00000082794,Gm6806
ENSMUSG00000064348,mt-Tn
ENSMUSG00000015340,Cybb
ENSMUSG00000091006,Vmn2r69
ENSMUSG00000048347,Pcdhb18
ENSMUSG00000119765,Gm23136
ENSMUSG00000026327,Serpinb11
ENSMUSG00000106172,Gm17979
ENSMUSG00000104089,Gm38274
ENSMUSG00000045341,Or2l5
ENSMUSG00000065536,Mir98
ENSMUSG00000060402,Chst8
ENSMUSG00000083546,Tpt1-ps1
ENSMUSG00000019975,Ikbip
ENSMUSG00000112231,Gm8435
ENSMUSG00000058248,Kcnh1
ENSMUSG00000080955,Gm14263
ENSMUSG00000108266,Gm5305
ENSMUSG00000036181,H1f2
ENSMUSG00000064342,mt-Ti
ENSMUSG00000047415,Gpr68
ENSMUSG00000119920,n-R5s102
ENSMUSG00000038530,Rgs4
ENSMUSG00000111448,Or8b48
ENSMUSG00000018862,Otop3
ENSMUSG00000111505,Gm48673
ENSMUSG00000025810,Nrp1
ENSMUSG00000089281,Scarna6
ENSMUSG00000113813,Gm29968
ENSMUSG00000081217,Gm15268
ENSMUSG00000042104,Uggt2
ENSMUSG00000020077,Srgn
ENSMUSG00000085541,Gm16010
ENSMUSG00000106784,Gm43309
ENSMUSG00000028186,Uox
ENSMUSG00000083377,Gm12653
ENSMUSG00000083654,Gm11875
ENSMUSG00000020102,Slc16a7
ENSMUSG00000024673,Ms4a1
ENSMUSG00000114961,A930002C04Rik
ENSMUSG00000109619,Gm45672
ENSMUSG00000065881,Gm22866
ENSMUSG00000081011,Gm11913
ENSMUSG00000106529,Gm18451
ENSMUSG00000076396,Mir667
ENSMUSG00000111326,Gm3953
ENSMUSG00000064441,Snord37
ENSMUSG00000114748,Gm6734
ENSMUSG00000104936,2610011E03Rik
ENSMUSG00000106570,C230071H17Rik
ENSMUSG00000070601,Vmn2r84
ENSMUSG00000106150,4921527H02Rik
ENSMUSG00000115397,Gm49232
ENSMUSG00000108441,Gm32846
ENSMUSG00000106840,Gm42790
